date,ride_name,SACTMIN,SPOSTMIN
10/29/2017,7_dwarfs_train,43.166666666666664,48.23870967741936
10/29/2018,7_dwarfs_train,36.5,-39.39473684210526
10/29/2019,7_dwarfs_train,21.0,23.061643835616437
10/29/2021,7_dwarfs_train,35.44444444444444,35.28086419753087
10/3/2015,7_dwarfs_train,23.2,68.7012987012987
10/3/2016,7_dwarfs_train,37.5,87.37623762376238
10/3/2017,7_dwarfs_train,43.0,27.615384615384617
10/3/2018,7_dwarfs_train,,-117.51006711409396
10/3/2019,7_dwarfs_train,42.0,-216.20289855072463
10/3/2021,7_dwarfs_train,24.428571428571427,26.90032154340836
10/30/2015,7_dwarfs_train,35.333333333333336,67.27272727272727
10/30/2016,7_dwarfs_train,58.0,55.96296296296296
10/30/2017,7_dwarfs_train,18.0,0.8217054263565892
10/30/2018,7_dwarfs_train,34.6,-149.95906432748538
10/30/2019,7_dwarfs_train,21.6,53.30578512396694
10/30/2021,7_dwarfs_train,34.166666666666664,21.006968641114984
10/31/2015,7_dwarfs_train,26.0,47.62096774193548
10/31/2016,7_dwarfs_train,26.0,52.5968992248062
10/31/2017,7_dwarfs_train,21.5,-29.137254901960784
10/31/2018,7_dwarfs_train,17.8,-55.084848484848486
10/31/2019,7_dwarfs_train,18.666666666666668,39.33098591549296
10/31/2020,7_dwarfs_train,30.0,44.0
10/31/2021,7_dwarfs_train,70.0,45.93478260869565
10/4/2015,7_dwarfs_train,28.5,45.559701492537314
10/4/2016,7_dwarfs_train,37.833333333333336,-116.24545454545455
10/4/2017,7_dwarfs_train,12.0,78.16883116883118
10/4/2018,7_dwarfs_train,22.0,-40.70860927152318
10/4/2019,7_dwarfs_train,35.625,49.08759124087591
10/4/2021,7_dwarfs_train,36.5,20.788961038961038
10/5/2015,7_dwarfs_train,19.333333333333332,-8.934306569343066
10/5/2016,7_dwarfs_train,55.5,78.10344827586206
10/5/2017,7_dwarfs_train,19.5,35.23125
10/5/2018,7_dwarfs_train,23.428571428571427,-18.37888198757764
10/5/2019,7_dwarfs_train,32.0,69.71900826446281
10/5/2021,7_dwarfs_train,31.875,27.90031152647975
10/6/2015,7_dwarfs_train,35.5,48.064516129032256
10/6/2016,7_dwarfs_train,31.0,54.1
10/6/2017,7_dwarfs_train,36.5,-4.846153846153846
10/6/2018,7_dwarfs_train,12.0,-87.0774647887324
10/6/2019,7_dwarfs_train,29.333333333333332,44.35616438356164
10/6/2021,7_dwarfs_train,20.4,-46.4703947368421
10/7/2015,7_dwarfs_train,23.5,64.29577464788733
10/7/2016,7_dwarfs_train,,30.0
10/7/2017,7_dwarfs_train,10.0,-198.751677852349
10/7/2018,7_dwarfs_train,143.0,-43.83448275862069
10/7/2019,7_dwarfs_train,26.5,-36.043103448275865
10/7/2021,7_dwarfs_train,44.44444444444444,16.408239700374533
10/8/2015,7_dwarfs_train,39.333333333333336,46.268115942028984
10/8/2016,7_dwarfs_train,32.0,33.59166666666667
10/8/2017,7_dwarfs_train,15.0,16.664473684210527
10/8/2018,7_dwarfs_train,40.0,-23.593548387096774
10/8/2019,7_dwarfs_train,25.333333333333332,55.357142857142854
10/8/2021,7_dwarfs_train,39.833333333333336,-140.74763406940062
10/9/2015,7_dwarfs_train,36.5,-70.16546762589928
10/9/2016,7_dwarfs_train,20.5,95.13636363636364
10/9/2017,7_dwarfs_train,39.5,41.70469798657718
10/9/2018,7_dwarfs_train,46.0,-65.125
10/9/2019,7_dwarfs_train,66.0,95.27131782945736
10/9/2021,7_dwarfs_train,36.8,58.44329896907217
11/1/2015,7_dwarfs_train,16.5,49.53846153846154
11/1/2016,7_dwarfs_train,50.75,64.75490196078431
11/1/2017,7_dwarfs_train,9.333333333333334,21.30065359477124
11/1/2018,7_dwarfs_train,44.0,-41.0
11/1/2019,7_dwarfs_train,24.8,43.29710144927536
11/1/2020,7_dwarfs_train,31.666666666666668,46.83168316831683
