date,ride_name,sactmin
2/28/2015,it_s_a_small_world,2
2/28/2015,splash_mountain,3
2/28/2015,big_thunder_mtn,10
2/28/2015,haunted_mansion,5
2/28/2015,7_dwarfs_train,26
3/1/2015,peter_pan_s_flight,40
3/1/2015,7_dwarfs_train,28
3/1/2015,space_mountain,8
3/1/2015,big_thunder_mtn,17
3/1/2015,splash_mountain,19
3/1/2015,haunted_mansion,13
3/1/2015,pirates_of_caribbean,10
3/1/2015,it_s_a_small_world,12
3/2/2015,pirates_of_caribbean,19
3/2/2015,splash_mountain,22
3/2/2015,7_dwarfs_train,42
3/2/2015,big_thunder_mtn,9
3/2/2015,haunted_mansion,5
3/2/2015,space_mountain,14
3/2/2015,it_s_a_small_world,6
3/3/2015,7_dwarfs_train,47
3/3/2015,pirates_of_caribbean,28
3/3/2015,haunted_mansion,6
3/3/2015,peter_pan_s_flight,18
3/3/2015,big_thunder_mtn,19
3/3/2015,space_mountain,16
3/3/2015,splash_mountain,17
3/4/2015,splash_mountain,11
3/4/2015,big_thunder_mtn,8
3/4/2015,it_s_a_small_world,9
3/4/2015,7_dwarfs_train,20
3/4/2015,space_mountain,11
3/4/2015,peter_pan_s_flight,36
3/4/2015,haunted_mansion,10
3/4/2015,pirates_of_caribbean,6
3/5/2015,it_s_a_small_world,2
3/5/2015,big_thunder_mtn,5
3/5/2015,pirates_of_caribbean,21
3/5/2015,7_dwarfs_train,17
3/5/2015,haunted_mansion,12
3/5/2015,splash_mountain,25
3/6/2015,space_mountain,11
3/6/2015,big_thunder_mtn,10
3/6/2015,it_s_a_small_world,4
3/6/2015,pirates_of_caribbean,11
3/6/2015,7_dwarfs_train,9
3/6/2015,haunted_mansion,5
3/7/2015,pirates_of_caribbean,13
3/7/2015,space_mountain,10
3/7/2015,7_dwarfs_train,24
3/7/2015,haunted_mansion,12
3/7/2015,peter_pan_s_flight,21
3/7/2015,big_thunder_mtn,5
3/7/2015,it_s_a_small_world,5
3/7/2015,splash_mountain,13
3/8/2015,7_dwarfs_train,30
3/8/2015,haunted_mansion,15
3/8/2015,big_thunder_mtn,14
3/8/2015,space_mountain,27
3/8/2015,it_s_a_small_world,12
3/8/2015,pirates_of_caribbean,11
3/8/2015,peter_pan_s_flight,8
3/9/2015,peter_pan_s_flight,8
3/9/2015,big_thunder_mtn,17
3/9/2015,space_mountain,53
3/9/2015,pirates_of_caribbean,18
3/9/2015,7_dwarfs_train,61
3/9/2015,it_s_a_small_world,0
3/9/2015,haunted_mansion,14
3/10/2015,7_dwarfs_train,24
3/10/2015,splash_mountain,11
3/10/2015,peter_pan_s_flight,13
3/10/2015,space_mountain,58
3/10/2015,big_thunder_mtn,12
3/10/2015,it_s_a_small_world,16
3/10/2015,pirates_of_caribbean,22
3/10/2015,haunted_mansion,34
3/11/2015,big_thunder_mtn,10
3/11/2015,7_dwarfs_train,40
3/11/2015,it_s_a_small_world,10
3/11/2015,pirates_of_caribbean,9
3/11/2015,haunted_mansion,8
3/11/2015,splash_mountain,22
3/11/2015,space_mountain,16
3/12/2015,it_s_a_small_world,6
3/12/2015,big_thunder_mtn,15
3/12/2015,splash_mountain,19
3/12/2015,peter_pan_s_flight,14
3/12/2015,7_dwarfs_train,35
3/12/2015,haunted_mansion,13
3/12/2015,pirates_of_caribbean,12
3/13/2015,7_dwarfs_train,45
3/13/2015,haunted_mansion,12
3/13/2015,big_thunder_mtn,32
3/13/2015,splash_mountain,4
3/13/2015,pirates_of_caribbean,23
3/13/2015,it_s_a_small_world,13
3/13/2015,peter_pan_s_flight,52
3/13/2015,space_mountain,20
3/14/2015,space_mountain,12
3/14/2015,splash_mountain,9
3/14/2015,pirates_of_caribbean,21
3/14/2015,peter_pan_s_flight,44
3/14/2015,7_dwarfs_train,21
3/14/2015,big_thunder_mtn,22
3/14/2015,it_s_a_small_world,17
3/14/2015,haunted_mansion,12
3/15/2015,pirates_of_caribbean,15
3/15/2015,splash_mountain,18
3/15/2015,peter_pan_s_flight,18
3/15/2015,haunted_mansion,20
3/15/2015,it_s_a_small_world,11
3/15/2015,7_dwarfs_train,86
